countryName,year,CO2EmsnPerCapita,GDPPerCapita_2011USDValue,Population,GdpPercap_100USD
Sweden,1854,0.093997891,1785,3586123,17.85
United States,1854,1.222085039,3310,27133300,33.1
Sweden,1855,0.086962353,1896,3623453,18.96
United States,1855,1.367239418,3237,27910664,32.37
Sweden,1856,0.130107026,1876,3660986,18.76
United States,1856,1.395038938,3305,28699219,33.05
Sweden,1857,0.16543581,1928,3698643,19.28
United States,1857,1.391742906,3233,29499069,32.33
Sweden,1858,0.137285024,1951,3736460,19.51
United States,1858,1.37408273,3248,30310175,32.48
Sweden,1859,0.200016536,2021,3773608,20.21
United States,1859,1.455709601,3336,31132594,33.36
Sweden,1860,0.197168421,2058,3809535,20.58
United States,1860,1.483959329,3425,31967054,34.25
India,1861,0.002670322,747,205817909,7.47
Sweden,1861,0.251617389,1977,3844313,19.77
United States,1861,1.392109568,3354,32812854,33.54
